trajectory_id,physics_description,filepath
42,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000042.npy
43,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000043.npy
44,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000044.npy
45,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000045.npy
46,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000046.npy
47,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000047.npy
48,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000048.npy
49,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000049.npy
50,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000050.npy
51,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000051.npy
52,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000052.npy
53,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000053.npy
54,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000054.npy
55,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000055.npy
56,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000056.npy
57,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000057.npy
58,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000058.npy
59,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.060.",trajectory_000059.npy
60,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000060.npy
61,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000061.npy
62,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000062.npy
63,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000063.npy
64,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000064.npy
65,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000065.npy
66,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000066.npy
67,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000067.npy
68,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000068.npy
69,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.070.",trajectory_000069.npy
70,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000070.npy
71,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000071.npy
72,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000072.npy
73,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000073.npy
74,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000074.npy
75,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000075.npy
76,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000076.npy
77,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000077.npy
78,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000078.npy
79,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.080.",trajectory_000079.npy
80,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000080.npy
81,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000081.npy
82,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000082.npy
83,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000083.npy
84,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000084.npy
85,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000085.npy
86,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000086.npy
87,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000087.npy
88,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000088.npy
89,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.090.",trajectory_000089.npy
90,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000090.npy
91,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000091.npy
92,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000092.npy
93,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000093.npy
94,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000094.npy
95,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000095.npy
96,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000096.npy
97,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000097.npy
98,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000098.npy
99,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.100.",trajectory_000099.npy
100,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000100.npy
101,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000101.npy
102,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000102.npy
103,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000103.npy
104,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000104.npy
105,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000105.npy
106,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000106.npy
107,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000107.npy
108,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000108.npy
109,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.110.",trajectory_000109.npy
110,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000110.npy
111,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000111.npy
112,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000112.npy
113,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000113.npy
114,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000114.npy
115,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000115.npy
116,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000116.npy
117,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000117.npy
118,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000118.npy
119,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.120.",trajectory_000119.npy
120,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000120.npy
121,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000121.npy
122,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000122.npy
123,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000123.npy
124,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000124.npy
125,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000125.npy
126,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000126.npy
127,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000127.npy
128,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000128.npy
129,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.130.",trajectory_000129.npy
130,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000130.npy
131,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000131.npy
132,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000132.npy
133,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000133.npy
134,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000134.npy
135,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000135.npy
136,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000136.npy
137,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000137.npy
138,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000138.npy
139,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.140.",trajectory_000139.npy
140,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000140.npy
141,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000141.npy
142,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000142.npy
143,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000143.npy
144,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000144.npy
145,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000145.npy
146,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000146.npy
147,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000147.npy
148,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000148.npy
149,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.150.",trajectory_000149.npy
150,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.160.",trajectory_000150.npy
